model,stratum,skin_tone_category,n_subjects,g_n,g_mean_dice,g_median_dice,g_iqr_dice,g_mean_recall,g_mean_precision,g_zero_dice_n,g_zero_dice_rate,g_empty_pred_n,g_wrong_place_n
biomedclip_g28,D5_D10,Intermediate (III-IV),11,32,0.6983310686164409,0.7260334490263013,0.179735156464212,0.7985824221165321,0.6698518575364876,0,0.0,0,0
biomedclip_g28,D5_D10,Tan (IV),8,12,0.7976592433737855,0.7851068154903165,0.12299967802324985,0.8907336236893167,0.7378238376212095,0,0.0,0,0
biomedclip_g28,D5_D10,Brown (V),3,5,0.6836922016288344,0.7023026315789473,0.07227220097225939,0.7689492589612927,0.6222737694324408,0,0.0,0,0
biomedclip_g28,D5_D10,Dark (VI),7,15,0.6085263576044156,0.6441784548422198,0.19493203066464948,0.6473587158742771,0.6234721408175238,1,0.06666666666666667,0,1
deeplabv3plus_r50,all,Light (II-III),9,39,0.6465133339908914,0.7527311171150006,0.3310909310888641,0.5892895936295888,0.8948850923588191,5,0.1282051282051282,4,1
deeplabv3plus_r50,all,Intermediate (III-IV),17,38,0.8117950762336402,0.8554850296937428,0.11095261165646897,0.7650069177717331,0.9078938197646058,0,0.0,0,0
deeplabv3plus_r50,all,Tan (IV),15,24,0.7385280298764223,0.8226349051874973,0.27802582450060964,0.6923340863222555,0.8844382658623976,0,0.0,0,0
deeplabv3plus_r50,all,Brown (V),12,29,0.7940295761783122,0.8513583307509555,0.13835256974280596,0.7235693098164755,0.9156660689032482,0,0.0,0,0
deeplabv3plus_r50,all,Dark (VI),15,55,0.7906537270918402,0.804676036130042,0.10539158516971736,0.7559708979625727,0.8507374714629136,0,0.0,0,0
deeplabv3plus_r50,D1_D4,Light (II-III),7,23,0.59917170689803,0.7377146240378922,0.4177424942122966,0.5688408658892973,0.8667126202459063,5,0.21739130434782608,4,1
deeplabv3plus_r50,D1_D4,Intermediate (III-IV),10,13,0.7888770867674607,0.8614569536423841,0.05168564305990997,0.768365723414708,0.893015053015601,0,0.0,0,0
deeplabv3plus_r50,D1_D4,Tan (IV),4,8,0.7828412743382724,0.848899688501033,0.1409847328430287,0.7656450595711172,0.8414693044925755,0,0.0,0,0
deeplabv3plus_r50,D1_D4,Brown (V),3,12,0.7894114619241108,0.8465128197402207,0.09071437269750682,0.6899621304369737,0.9680923870186738,0,0.0,0,0
deeplabv3plus_r50,D1_D4,Dark (VI),8,18,0.7950196233686726,0.7938337796457213,0.11687611436985623,0.7522234979915726,0.8663672792878373,0,0.0,0,0
deeplabv3plus_r50,D5_D10,Light (II-III),6,16,0.7145669229368797,0.7779849979804974,0.3129808233456217,0.6186846397562576,0.9353830210211315,0,0.0,0,0
deeplabv3plus_r50,D5_D10,Intermediate (III-IV),11,25,0.8237124307560534,0.851258581235698,0.11981476527208401,0.7632603388373863,0.9156307784740885,0,0.0,0,0
deeplabv3plus_r50,D5_D10,Tan (IV),13,16,0.7163714076454972,0.7407637834579508,0.27127425687710494,0.6556785996978246,0.9059227465473085,0,0.0,0,0
deeplabv3plus_r50,D5_D10,Brown (V),10,17,0.7972894215342192,0.8648001914333573,0.14849055516927234,0.747292024672594,0.8786592561158889,0,0.0,0,0
deeplabv3plus_r50,D5_D10,Dark (VI),12,37,0.7885297775517595,0.8064836986553693,0.08747268703118383,0.7577939574079238,0.8431337811697073,0,0.0,0,0
dermlip_ft__seed0,all,Light (II-III),9,39,0.7030671453865678,0.7975920036347115,0.21571365561607958,0.6876832040604158,0.76473305382735,0,0.0,0,0
dermlip_ft__seed0,all,Intermediate (III-IV),17,38,0.7709572406600009,0.7639431447448235,0.184503192499618,0.7718543909833925,0.8209606965198294,0,0.0,0,0
dermlip_ft__seed0,all,Tan (IV),15,24,0.6394547323117565,0.6765631594475578,0.19507928566196386,0.619260737416847,0.6904193223282129,0,0.0,0,0
dermlip_ft__seed0,all,Brown (V),12,29,0.7541482148242109,0.7971147008026008,0.1460909736063145,0.7725744765460939,0.7656752788299851,0,0.0,0,0
dermlip_ft__seed0,all,Dark (VI),15,55,0.6610281510072273,0.7183922665988298,0.3028519441290167,0.6389647461134467,0.7209297402241067,0,0.0,0,0
dermlip_ft__seed0,D1_D4,Light (II-III),7,23,0.6752932690609285,0.8027832137421178,0.2038331793563859,0.6888528085236251,0.7149079887803689,0,0.0,0,0
dermlip_ft__seed0,D1_D4,Intermediate (III-IV),10,13,0.7374195704211174,0.7471828951170182,0.20738086736992922,0.8140664813147583,0.7020698964894384,0,0.0,0,0
dermlip_ft__seed0,D1_D4,Tan (IV),4,8,0.532878902070461,0.6053313863797398,0.32088752303854645,0.5543010206948702,0.5206481296907527,0,0.0,0,0
dermlip_ft__seed0,D1_D4,Brown (V),3,12,0.7486454129205913,0.81202318028884,0.06535437493847263,0.7547821736204697,0.756288942393097,0,0.0,0,0
dermlip_ft__seed0,D1_D4,Dark (VI),8,18,0.6610287501575054,0.7081578739629488,0.25612718319812056,0.693330727723499,0.6515612364599099,0,0.0,0,0
dermlip_ft__seed0,D5_D10,Light (II-III),6,16,0.7429920926046741,0.7802369759970829,0.1484825438561943,0.6860018976445524,0.8363565848323851,0,0.0,0,0
dermlip_ft__seed0,D5_D10,Intermediate (III-IV),11,25,0.7883968291842206,0.8288518155053974,0.15571001722385558,0.7499041040110822,0.882783912535633,0,0.0,0,0
dermlip_ft__seed0,D5_D10,Tan (IV),13,16,0.6927426474324043,0.738141457657538,0.1590686564044579,0.6517405957778353,0.775304918646943,0,0.0,0,0
dermlip_ft__seed0,D5_D10,Brown (V),10,17,0.7580325455797068,0.7897938610213091,0.16315749979560312,0.7851337491994761,0.7723009280795533,0,0.0,0,0
dermlip_ft__seed0,D5_D10,Dark (VI),12,37,0.6610278595287133,0.7604386334879798,0.30218586742134734,0.6125164307355834,0.7546765798931755,0,0.0,0,0
dermlip_ft__seed0#c827,all,Light (II-III),7,31,0.6947043146404421,0.727247151498101,0.22229456312816254,0.7846052680644998,0.6499311764179694,0,0.0,0,0
dermlip_ft__seed0#c827,all,Intermediate (III-IV),12,46,0.7896056364282585,0.833461406895893,0.1561192057866998,0.8707555508058687,0.7484022120567597,0,0.0,0,0
dermlip_ft__seed0#c827,all,Tan (IV),11,21,0.7251341286554956,0.7731833384007297,0.22074421429329272,0.8220026234913794,0.6647099805178983,1,0.047619047619047616,0,1
dermlip_ft__seed0#c827,all,Brown (V),4,7,0.7372807132633413,0.7613663133097762,0.13584086240227777,0.7691914353511543,0.7143126340807822,0,0.0,0,0
dermlip_ft__seed0#c827,all,Dark (VI),8,28,0.6677801130609493,0.7058912529961436,0.1888411525325414,0.7106452672669281,0.6676710126953443,0,0.0,0,0
