model,bin,median_gt_px,s_n,s_mean_dice,s_median_dice,s_iqr_dice,s_mean_recall,s_mean_precision,s_zero_dice_n,s_zero_dice_rate,s_empty_pred_n,s_wrong_place_n
distill_p2_cwd_b5_to_b0,D3,6686.0,19,0.750478596811601,0.8264689288304989,0.12198399364857926,0.7152049799816969,0.8046565763172234,0,0.0,0,0
distill_p2_cwd_b5_to_b0,D4,8665.5,18,0.8010804856098849,0.8123985541840006,0.0993153249252432,0.754605430174419,0.8651337606743819,0,0.0,0,0
distill_p2_cwd_b5_to_b0,D5,10622.0,19,0.7954670458295766,0.8175273510571963,0.1367578604031885,0.7404686978932317,0.8880511685581965,0,0.0,0,0
distill_p2_cwd_b5_to_b0,D6,11957.5,18,0.8057473653329593,0.8427216200359736,0.12019727052313778,0.7497417588245927,0.8878049702032907,1,0.05555555555555555,0,1
distill_p2_cwd_b5_to_b0,D7,13841.0,18,0.7754335358999631,0.8175543723351258,0.16601596649258643,0.7306639175727082,0.8620520054368631,0,0.0,0,0
distill_p2_cwd_b5_to_b0,D8,15506.0,19,0.7915362439173614,0.8166175438596491,0.15464827560562466,0.7366150306474077,0.8932512252660693,0,0.0,0,0
distill_p2_cwd_b5_to_b0,D9,19152.0,18,0.7889887575685463,0.8416623243821988,0.19039159971053699,0.7584981285596624,0.8468299924551422,0,0.0,0,0
distill_p2_cwd_b5_to_b0,D10,31415.0,19,0.7233128920122399,0.7478132314894665,0.2231058582913149,0.6215325247874065,0.9040622461076374,0,0.0,0,0
distill_p2_ensemble_uniform,D1,4071.0,19,0.7080304847323445,0.8046429274050757,0.1616923788762803,0.7570972236204045,0.7226187200517417,1,0.05263157894736842,0,1
distill_p2_ensemble_uniform,D2,5445.5,18,0.7923159829007365,0.8385018980941615,0.12826965500885346,0.7824947629675054,0.8503646563908106,0,0.0,0,0
distill_p2_ensemble_uniform,D3,6686.0,19,0.738472799486512,0.7956952216960826,0.15296793803145636,0.695233746416177,0.8039078389198986,0,0.0,0,0
distill_p2_ensemble_uniform,D4,8665.5,18,0.8407701012246784,0.8382507131184147,0.1251672944748854,0.7944123439960633,0.9032058391443277,0,0.0,0,0
distill_p2_ensemble_uniform,D5,10622.0,19,0.7832607258666983,0.7872639614302933,0.13150743064153947,0.7236226594278609,0.8953346736034575,0,0.0,0,0
distill_p2_ensemble_uniform,D6,11957.5,18,0.7872074175857047,0.824263581213744,0.14084385404700972,0.7173758552988798,0.8916489797294405,1,0.05555555555555555,0,1
distill_p2_ensemble_uniform,D7,13841.0,18,0.7296378701582529,0.7876742979222069,0.22935933461209046,0.6553703237829717,0.8703905900310543,0,0.0,0,0
distill_p2_ensemble_uniform,D8,15506.0,19,0.7696615887229267,0.8340760700590735,0.17666360591843389,0.7150802967980665,0.892666864821513,0,0.0,0,0
distill_p2_ensemble_uniform,D9,19152.0,18,0.7892579545063731,0.8494818326291329,0.2069054969178592,0.727121679606315,0.9078933564957781,0,0.0,0,0
distill_p2_ensemble_uniform,D10,31415.0,19,0.6830534110823303,0.7414922115289215,0.32275773053732604,0.5840932768829769,0.892539255915323,0,0.0,0,0
distill_p3_adaptive,D1,4071.0,19,0.7330658895402026,0.803982683982684,0.14329799087412654,0.7974957797578516,0.7010519762970155,1,0.05263157894736842,0,1
distill_p3_adaptive,D2,5445.5,18,0.8098524909925573,0.8432221600975432,0.09717472930692295,0.8594456352587634,0.7850627888596236,0,0.0,0,0
distill_p3_adaptive,D3,6686.0,19,0.7604980621312574,0.830723729993041,0.15255581176383548,0.7633623473688568,0.7673454897508145,0,0.0,0,0
distill_p3_adaptive,D4,8665.5,18,0.8235043636643171,0.8087369694961029,0.12356621551424074,0.7682974147611585,0.9001390571957839,0,0.0,0,0
distill_p3_adaptive,D5,10622.0,19,0.791356085460463,0.8202018089611544,0.13492341197859237,0.7394395961998419,0.8792172027255686,0,0.0,0,0
distill_p3_adaptive,D6,11957.5,18,0.8003099575495372,0.8399246407121719,0.12391943686674511,0.7374590785772528,0.8952832258927097,1,0.05555555555555555,0,1
distill_p3_adaptive,D7,13841.0,18,0.7624438816423554,0.8121745060083575,0.1311065363833952,0.7058742680019908,0.8608487836563261,0,0.0,0,0
distill_p3_adaptive,D8,15506.0,19,0.7970016837283934,0.8529727533876912,0.16827371029382854,0.7398794620653216,0.904465257330569,0,0.0,0,0
distill_p3_adaptive,D9,19152.0,18,0.7972498079048899,0.822045058123347,0.17034445817861588,0.7593911180921551,0.8695304945117974,0,0.0,0,0
distill_p3_adaptive,D10,31415.0,19,0.6794280322139915,0.7177399192828315,0.23532706046536678,0.5589187859751692,0.9195938905736422,0,0.0,0,0
distill_p3_adaptive_boundary,D1,4071.0,19,0.6586138898335081,0.8221336874723328,0.17831403371129106,0.6880791367872184,0.6967832463114975,1,0.05263157894736842,0,1
distill_p3_adaptive_boundary,D2,5445.5,18,0.821830875110844,0.8301382647233646,0.10511773940802471,0.8351655655141116,0.8379445061876271,0,0.0,0,0
distill_p3_adaptive_boundary,D3,6686.0,19,0.7323576863652701,0.7416450480695864,0.18510279702295995,0.6893828834630401,0.8059178610684707,0,0.0,0,0
distill_p3_adaptive_boundary,D4,8665.5,18,0.8124021876947771,0.8229327256952149,0.14847498845348117,0.7601353811920714,0.8853154263188991,0,0.0,0,0
distill_p3_adaptive_boundary,D5,10622.0,19,0.7600138527565597,0.7846718951652933,0.17658041773641608,0.7054722279728164,0.874021686315008,0,0.0,0,0
distill_p3_adaptive_boundary,D6,11957.5,18,0.7980120333569735,0.8740448931114279,0.16628676705954792,0.7441647540720566,0.9110649681838774,0,0.0,0,0
distill_p3_adaptive_boundary,D7,13841.0,18,0.7444921014570449,0.8114461674073468,0.24501817719195962,0.6930006218881233,0.8749033608366215,0,0.0,0,0
distill_p3_adaptive_boundary,D8,15506.0,19,0.7967462698235516,0.859434360489658,0.16857881465632796,0.7417538481254718,0.9001343122634543,0,0.0,0,0
distill_p3_adaptive_boundary,D9,19152.0,18,0.8157818262241953,0.8352589551005216,0.10284808544075985,0.7844174713335904,0.8777580682113231,0,0.0,0,0
distill_p3_adaptive_boundary,D10,31415.0,19,0.7365087777202952,0.7613355173735754,0.18436520267053969,0.6443822745013845,0.9165539074479625,0,0.0,0,0
distill_p3_adaptive_full,D1,4071.0,19,0.650993064310986,0.8261655222262378,0.17186350003409834,0.6416777745231217,0.7781161875654493,3,0.15789473684210525,2,1
distill_p3_adaptive_full,D2,5445.5,18,0.7659070855720143,0.7847233980431325,0.10703466827036923,0.7361061732807131,0.8505997897734863,0,0.0,0,0
distill_p3_adaptive_full,D3,6686.0,19,0.7093209115605951,0.7446338662662308,0.1930665371908582,0.6312620608382801,0.8396346372504745,0,0.0,0,0
distill_p3_adaptive_full,D4,8665.5,18,0.807361756263934,0.8065671675374196,0.08237404166062456,0.7507006563262039,0.8857292273514712,0,0.0,0,0
distill_p3_adaptive_full,D5,10622.0,19,0.7376182108761269,0.7799778235387296,0.18787289276882335,0.6731354370751366,0.8717616619373763,0,0.0,0,0
distill_p3_adaptive_full,D6,11957.5,18,0.787233016144255,0.8546736203478416,0.16728544833700898,0.7296559377421005,0.9053083438593839,0,0.0,0,0
distill_p3_adaptive_full,D7,13841.0,18,0.7625181337533475,0.7742995822570014,0.18716805796692204,0.7107208606415312,0.8704991167978131,0,0.0,0,0
distill_p3_adaptive_full,D8,15506.0,19,0.7619094422894012,0.7913689936536719,0.16310779471692483,0.7207915505611799,0.8616457954982149,0,0.0,0,0
distill_p3_adaptive_full,D9,19152.0,18,0.8096647503093757,0.8617373314493443,0.13183133458828167,0.778478261121981,0.8752213428615155,0,0.0,0,0
distill_p3_adaptive_full,D10,31415.0,19,0.7319381949280336,0.7952385783368842,0.23943555994783627,0.634080976143435,0.9238084432306849,0,0.0,0,0
distill_p3_adaptive_group,D1,4071.0,19,0.6996536159940874,0.8139562112164852,0.12327066366852613,0.7387730541687327,0.7391067026961364,2,0.10526315789473684,1,1
distill_p3_adaptive_group,D2,5445.5,18,0.7927231812893161,0.8333906897712702,0.07640596406138767,0.798357800506696,0.8201985755945368,0,0.0,0,0
distill_p3_adaptive_group,D3,6686.0,19,0.7388874145169225,0.7780803829330692,0.16725789975051597,0.6967898949633017,0.8068315220803544,0,0.0,0,0
distill_p3_adaptive_group,D4,8665.5,18,0.8024078025646185,0.779797171307261,0.11739091389544087,0.740912770527756,0.8895697880571025,0,0.0,0,0
distill_p3_adaptive_group,D5,10622.0,19,0.7588340684886504,0.789349953529058,0.1595115387788162,0.7052627314290981,0.8695671024824062,0,0.0,0,0
distill_p3_adaptive_group,D6,11957.5,18,0.7776735634314978,0.8269341640309746,0.1271850211811092,0.702239741338514,0.8939312421416646,0,0.0,0,0
distill_p3_adaptive_group,D7,13841.0,18,0.7353051278035645,0.7990475357177645,0.2574572179792731,0.6805693049516981,0.8695839019357714,0,0.0,0,0
distill_p3_adaptive_group,D8,15506.0,19,0.7924769769541404,0.8617797794688616,0.20250405517357029,0.7260365432816981,0.9047954317284764,0,0.0,0,0
distill_p3_adaptive_group,D9,19152.0,18,0.7933490651322175,0.8072287741620716,0.11082000719075324,0.724385223904878,0.9061109294426176,0,0.0,0,0
distill_p3_adaptive_group,D10,31415.0,19,0.700243076745219,0.6382028493591175,0.1864214327007515,0.5909651003635613,0.898045898556215,0,0.0,0,0
distill_p3_adaptive_hard,D1,4071.0,19,0.6632514358312748,0.7887998085437358,0.24709183669891654,0.7075868879363053,0.6821149300078583,1,0.05263157894736842,0,1
distill_p3_adaptive_hard,D2,5445.5,18,0.7561061386752841,0.831562608031658,0.13336099615084995,0.7912351182750348,0.7547782572864943,0,0.0,0,0
