model,stratum,n_subjects,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate
p3_adaptive_hard,D9,10,18,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,D6,13,18,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,D10,10,19,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,D5,12,19,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,D3,9,19,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,D2,8,18,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,D8,8,19,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,D1,7,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
p2_cwd_b5_to_b0,D7,11,18,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,D4,13,18,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,D9,10,18,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,D6,13,18,1,0,1,0.05555555555555555,0.0,0.05555555555555555
p2_cwd_b5_to_b0,D10,10,19,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,D5,12,19,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,D3,9,19,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,D2,8,18,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,D8,8,19,0,0,0,0.0,0.0,0.0
p2_cwd_b5_to_b0,D1,7,19,3,1,2,0.15789473684210525,0.05263157894736842,0.10526315789473684
p2_bpkd_b5_to_b0,D7,11,18,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,D4,13,18,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,D9,10,18,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,D6,13,18,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,D10,10,19,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,D5,12,19,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,D3,9,19,1,1,0,0.05263157894736842,0.05263157894736842,0.0
p2_bpkd_b5_to_b0,D2,8,18,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,D8,8,19,0,0,0,0.0,0.0,0.0
p2_bpkd_b5_to_b0,D1,7,19,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,D7,11,18,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,D4,13,18,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,D9,10,18,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,D6,13,18,1,0,1,0.05555555555555555,0.0,0.05555555555555555
p2_ensemble_uniform,D10,10,19,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,D5,12,19,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,D3,9,19,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,D2,8,18,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,D8,8,19,0,0,0,0.0,0.0,0.0
p2_ensemble_uniform,D1,7,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
expA_b5_to_b0_response,D7,11,18,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,D4,13,18,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,D9,10,18,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,D6,13,18,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,D10,10,19,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,D5,12,19,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,D3,9,19,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,D2,8,18,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,D8,8,19,0,0,0,0.0,0.0,0.0
expA_b5_to_b0_response,D1,7,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
x_angular_b5_to_b0,D7,11,18,0,0,0,0.0,0.0,0.0
x_angular_b5_to_b0,D4,13,18,0,0,0,0.0,0.0,0.0
x_angular_b5_to_b0,D9,10,18,0,0,0,0.0,0.0,0.0
x_angular_b5_to_b0,D6,13,18,1,0,1,0.05555555555555555,0.0,0.05555555555555555
x_angular_b5_to_b0,D10,10,19,0,0,0,0.0,0.0,0.0
x_angular_b5_to_b0,D5,12,19,0,0,0,0.0,0.0,0.0
x_angular_b5_to_b0,D3,9,19,0,0,0,0.0,0.0,0.0
x_angular_b5_to_b0,D2,8,18,1,1,0,0.05555555555555555,0.05555555555555555,0.0
x_angular_b5_to_b0,D8,8,19,0,0,0,0.0,0.0,0.0
x_angular_b5_to_b0,D1,7,19,0,0,0,0.0,0.0,0.0
fastscnn_distilled,D7,11,18,0,0,0,0.0,0.0,0.0
fastscnn_distilled,D4,13,18,1,1,0,0.05555555555555555,0.05555555555555555,0.0
fastscnn_distilled,D9,10,18,2,1,1,0.1111111111111111,0.05555555555555555,0.05555555555555555
fastscnn_distilled,D6,13,18,0,0,0,0.0,0.0,0.0
fastscnn_distilled,D10,10,19,0,0,0,0.0,0.0,0.0
fastscnn_distilled,D5,12,19,2,2,0,0.10526315789473684,0.10526315789473684,0.0
fastscnn_distilled,D3,9,19,3,2,1,0.15789473684210525,0.10526315789473684,0.05263157894736842
fastscnn_distilled,D2,8,18,0,0,0,0.0,0.0,0.0
fastscnn_distilled,D8,8,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
