model,bin,median_gt_px,n,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
yolo_sem_direct,D4,8665.5,18,0.8659885511034031,0.7826312693048145,0.7492651641997305,0.8604184908673306,0,0.0,0
yolo_sem_direct,D5,10622.0,19,0.8296303986710963,0.7289152805163797,0.6830500639791959,0.9161411962333247,0,0.0,0
yolo_sem_direct,D6,11957.5,18,0.8414924014776768,0.8012658003561425,0.7390324775153547,0.9270844902738572,0,0.0,0
yolo_sem_direct,D7,13841.0,18,0.795892284583757,0.7195296171249692,0.6678076762304878,0.8655401402294854,0,0.0,0
yolo_sem_direct,D8,15506.0,19,0.867904993909866,0.8103844926793563,0.8223128498380887,0.8713648249103322,1,0.05263157894736842,1
yolo_sem_direct,D9,19152.0,18,0.8708347509245764,0.7910461177766459,0.7932603223398189,0.8638450026083658,0,0.0,0
yolo_sem_direct,D10,31415.0,19,0.6762523443233399,0.5927740915548959,0.5069661210515836,0.8710090291660898,1,0.05263157894736842,1
yolo_sem_distilled,D1,4071.0,19,0.7843463780183181,0.6324490893208423,0.6370705003270306,0.7488404633879407,3,0.15789473684210525,2
yolo_sem_distilled,D2,5445.5,18,0.8427905834218739,0.8095887202501187,0.8174149481836926,0.82348894507417,0,0.0,0
yolo_sem_distilled,D3,6686.0,19,0.7768433698753566,0.7114470174196658,0.7231716234006521,0.7275303876728497,0,0.0,0
yolo_sem_distilled,D4,8665.5,18,0.8115508243119487,0.7413017629719827,0.6914053986038586,0.8824846642501157,1,0.05555555555555555,1
yolo_sem_distilled,D5,10622.0,19,0.8067147416952358,0.7621347792146103,0.7135480670631162,0.8963241329874829,0,0.0,0
yolo_sem_distilled,D6,11957.5,18,0.778025957084969,0.7774657045092273,0.686119940413204,0.9500962518014876,0,0.0,0
yolo_sem_distilled,D7,13841.0,18,0.7625348054901308,0.7308384863969972,0.6568296900721075,0.8965871246377309,0,0.0,0
yolo_sem_distilled,D8,15506.0,19,0.8876459621234423,0.7981391383179645,0.7594648739140086,0.9209335853437866,1,0.05263157894736842,1
yolo_sem_distilled,D9,19152.0,18,0.8417656561860936,0.731645496382043,0.6414863639503064,0.9097162378671155,0,0.0,0
yolo_sem_distilled,D10,31415.0,19,0.5594429062840842,0.5741397947445144,0.4560227624339494,0.8981723543587279,0,0.0,0
lraspp_mobilenetv3,D1,4071.0,19,0.8064379500211775,0.7079679723347321,0.7492217319192914,0.7276958397157821,0,0.0,0
lraspp_mobilenetv3,D2,5445.5,18,0.7499367418732962,0.6782982101749151,0.6305522923021847,0.8219294129015879,0,0.0,0
lraspp_mobilenetv3,D3,6686.0,19,0.5547445255474452,0.5191142899953324,0.4679452976824159,0.8049173901127822,1,0.05263157894736842,1
lraspp_mobilenetv3,D4,8665.5,18,0.7231763175237853,0.6642375675345554,0.6162562167591713,0.8617139096564378,1,0.05555555555555555,1
lraspp_mobilenetv3,D5,10622.0,19,0.7377989717606735,0.6978484133599986,0.6391723416097572,0.8301811270035242,0,0.0,0
lraspp_mobilenetv3,D6,11957.5,18,0.7982064122842808,0.7742483666222942,0.7291146630994969,0.8835922726770027,0,0.0,0
lraspp_mobilenetv3,D7,13841.0,18,0.7048589927965845,0.6843336499428931,0.648152500693797,0.8151613602482326,0,0.0,0
lraspp_mobilenetv3,D8,15506.0,19,0.8565638524421241,0.7769934088773323,0.7441310143458896,0.8380009425052158,0,0.0,0
lraspp_mobilenetv3,D9,19152.0,18,0.7779280414126064,0.7513577257178297,0.6724393105200155,0.8695501458597553,0,0.0,0
lraspp_mobilenetv3,D10,31415.0,19,0.777468542981459,0.730363988410663,0.6525675466977872,0.8740665943352747,0,0.0,0
lraspp_mobilenetv3_b2kd,D1,4071.0,19,0.7477854330708661,0.7143166354846379,0.8442117525178299,0.7040464330236188,0,0.0,0
lraspp_mobilenetv3_b2kd,D2,5445.5,18,0.7441329888074866,0.6754476426669994,0.6681981660108305,0.8041737263621591,0,0.0,0
lraspp_mobilenetv3_b2kd,D3,6686.0,19,0.533262211384592,0.5618569323218037,0.5134020551772845,0.8090783700261116,0,0.0,0
lraspp_mobilenetv3_b2kd,D4,8665.5,18,0.7542256534846851,0.7042512762972684,0.6546736103453876,0.8637774904177824,1,0.05555555555555555,1
lraspp_mobilenetv3_b2kd,D5,10622.0,19,0.7969071764385903,0.7325180299186058,0.6657183201652593,0.8820349283598361,0,0.0,0
lraspp_mobilenetv3_b2kd,D6,11957.5,18,0.8203597361180315,0.7779515791267807,0.7764722106437139,0.8493180317276721,0,0.0,0
lraspp_mobilenetv3_b2kd,D7,13841.0,18,0.7527423774557649,0.7232009421024126,0.6813496152638987,0.8400542769188463,0,0.0,0
lraspp_mobilenetv3_b2kd,D8,15506.0,19,0.8620842572062084,0.8005299646736075,0.7972991934430995,0.8479919327488215,0,0.0,0
lraspp_mobilenetv3_b2kd,D9,19152.0,18,0.8131832490898726,0.7780425197485994,0.716842349946422,0.8644679968288812,0,0.0,0
lraspp_mobilenetv3_b2kd,D10,31415.0,19,0.7642916375985573,0.7476441868040359,0.7209248491928225,0.839661631244797,0,0.0,0
lraspp_mobilenetv3_distilled,D1,4071.0,19,0.8006185367739441,0.6924219392802203,0.6699460149498876,0.7720562882416395,1,0.05263157894736842,0
lraspp_mobilenetv3_distilled,D2,5445.5,18,0.7916986022926202,0.7099919882232288,0.6878534359669392,0.7863224555713143,0,0.0,0
lraspp_mobilenetv3_distilled,D3,6686.0,19,0.5869935754556181,0.5646193160000965,0.5234589395173326,0.7986810324070145,0,0.0,0
lraspp_mobilenetv3_distilled,D4,8665.5,18,0.7071872805747157,0.6753224192075442,0.6472834348477589,0.8601413950432905,2,0.1111111111111111,2
lraspp_mobilenetv3_distilled,D5,10622.0,19,0.7613927916921197,0.7170446594784735,0.6621469924677321,0.865789426257891,0,0.0,0
lraspp_mobilenetv3_distilled,D6,11957.5,18,0.8464736302610576,0.7944678367796536,0.7594198823023911,0.8854869771844371,0,0.0,0
lraspp_mobilenetv3_distilled,D7,13841.0,18,0.7230796579294027,0.7158422912443194,0.68818245122668,0.8278008439946899,0,0.0,0
lraspp_mobilenetv3_distilled,D8,15506.0,19,0.8288888110172759,0.8106305068752111,0.8011301234182197,0.8521197272037576,0,0.0,0
lraspp_mobilenetv3_distilled,D9,19152.0,18,0.8089377240396469,0.7680755222200708,0.6940466125862904,0.8833463179036504,0,0.0,0
lraspp_mobilenetv3_distilled,D10,31415.0,19,0.7799851619816998,0.7547217530532913,0.7025655432412631,0.8684005046800711,0,0.0,0
topformer_tiny,D1,4071.0,19,0.701264334019406,0.5917447343978548,0.7395054033478082,0.5445753807825182,1,0.05263157894736842,0
topformer_tiny,D2,5445.5,18,0.766324173880813,0.7040740090089825,0.8011098486925354,0.6704196872411484,0,0.0,0
topformer_tiny,D3,6686.0,19,0.6955421340235836,0.6448338447347212,0.684999692419808,0.6776435154307779,0,0.0,0
topformer_tiny,D4,8665.5,18,0.7226266958428549,0.6887258303630798,0.6814831527048679,0.7788995105384289,0,0.0,0
topformer_tiny,D5,10622.0,19,0.7559334041799504,0.6982401982417047,0.7053752218284393,0.7330603784197747,0,0.0,0
topformer_tiny,D6,11957.5,18,0.7822197797206356,0.7297101168361856,0.7201904576069386,0.7720546027874647,0,0.0,0
topformer_tiny,D7,13841.0,18,0.6915283062296822,0.697226406714272,0.692739693172226,0.761355668327722,0,0.0,0
topformer_tiny,D8,15506.0,19,0.7777146428774362,0.7451045824390945,0.73715417663628,0.7875651570290023,0,0.0,0
topformer_tiny,D9,19152.0,18,0.7578398659982766,0.735728566567903,0.7081489688619506,0.8273105103535183,0,0.0,0
topformer_tiny,D10,31415.0,19,0.6919399744348527,0.6881629778600483,0.5967806387155958,0.8735532040398164,0,0.0,0
topformer_tiny_b2kd,D1,4071.0,19,0.6773396580689791,0.617027860724685,0.7686669966113499,0.5441933235064255,1,0.05263157894736842,0
topformer_tiny_b2kd,D2,5445.5,18,0.7750265322871496,0.7111317547009258,0.7866234230780436,0.6745515913408653,0,0.0,0
topformer_tiny_b2kd,D3,6686.0,19,0.7021490511499309,0.6571531651861504,0.6805926568745058,0.6819507332536024,0,0.0,0
topformer_tiny_b2kd,D4,8665.5,18,0.7061718611649974,0.6895936145369119,0.6889309038524576,0.7698431191403512,0,0.0,0
topformer_tiny_b2kd,D5,10622.0,19,0.7536449299142094,0.708079354872118,0.6954614750626673,0.76763402411364,0,0.0,0
topformer_tiny_b2kd,D6,11957.5,18,0.7784063542347979,0.7272762673100962,0.6946399023640619,0.7985536402217126,0,0.0,0
topformer_tiny_b2kd,D7,13841.0,18,0.7348954245731558,0.6974160566088957,0.6714817986441511,0.8015333003178459,0,0.0,0
topformer_tiny_b2kd,D8,15506.0,19,0.7881105219090148,0.7477169837658276,0.7329129901215788,0.8084413343611119,0,0.0,0
topformer_tiny_b2kd,D9,19152.0,18,0.7620773722601057,0.7367648191160465,0.6982240031084491,0.8317108040622148,0,0.0,0
topformer_tiny_b2kd,D10,31415.0,19,0.7097715119105493,0.6832513226175724,0.6083159118513395,0.8533382786357344,0,0.0,0
ppmobileseg_tiny,D1,4071.0,19,0.7279475982532752,0.6162356977587188,0.6948004288083289,0.6801669152169763,0,0.0,0
ppmobileseg_tiny,D2,5445.5,18,0.7222020359672678,0.6950164777456213,0.7299176476714836,0.6996206504810251,1,0.05555555555555555,0
ppmobileseg_tiny,D3,6686.0,19,0.6548596851471595,0.5994622941659058,0.6480903392549466,0.6488968424418121,1,0.05263157894736842,1
ppmobileseg_tiny,D4,8665.5,18,0.6056095435499811,0.574685681822647,0.5741880000733297,0.7900284178834328,2,0.1111111111111111,2
ppmobileseg_tiny,D5,10622.0,19,0.6364756904816252,0.6513786623772484,0.6438333775953672,0.7810913724173859,0,0.0,0
ppmobileseg_tiny,D6,11957.5,18,0.7441313615866563,0.6966909526185717,0.679620132065087,0.7989154992882956,0,0.0,0
ppmobileseg_tiny,D7,13841.0,18,0.6635680851614569,0.625467830268556,0.6373746014515348,0.7276588853923492,0,0.0,0
ppmobileseg_tiny,D8,15506.0,19,0.8221656976744186,0.7617008901590906,0.7627218251119239,0.778353457739868,0,0.0,0
ppmobileseg_tiny,D9,19152.0,18,0.7186408678475351,0.7082744819598256,0.6549449030866424,0.8077384096737819,0,0.0,0
ppmobileseg_tiny,D10,31415.0,19,0.6388423457730389,0.6401150476498766,0.5569401813189174,0.8935736990301487,0,0.0,0
ppmobileseg_tiny_b2kd,D1,4071.0,19,0.7075586711368486,0.6827744001225823,0.7214109375304089,0.7719287963274335,0,0.0,0
ppmobileseg_tiny_b2kd,D2,5445.5,18,0.7428564618561743,0.676014793669917,0.645484962430102,0.7529498387569871,1,0.05555555555555555,0
ppmobileseg_tiny_b2kd,D3,6686.0,19,0.6759992632160619,0.5825663867613845,0.536181164930946,0.7381808159801386,1,0.05263157894736842,1
ppmobileseg_tiny_b2kd,D4,8665.5,18,0.6043135656604387,0.5726421875219783,0.5309200621217233,0.8620108444386523,2,0.1111111111111111,2
ppmobileseg_tiny_b2kd,D5,10622.0,19,0.7322936635407492,0.7004357667578468,0.6469412445261729,0.813112436733291,0,0.0,0
ppmobileseg_tiny_b2kd,D6,11957.5,18,0.7673923030195146,0.7488878267613392,0.7010567316364387,0.8538551495258749,0,0.0,0
ppmobileseg_tiny_b2kd,D7,13841.0,18,0.6685593863246593,0.6624460028193745,0.5873378741414927,0.8363073501506716,0,0.0,0
ppmobileseg_tiny_b2kd,D8,15506.0,19,0.8134307852942793,0.7437892404946357,0.7023945536309644,0.8369339804001488,0,0.0,0
ppmobileseg_tiny_b2kd,D9,19152.0,18,0.7682597909945492,0.7135868896211559,0.642089105524611,0.8456326929677755,0,0.0,0
ppmobileseg_tiny_b2kd,D10,31415.0,19,0.665732208282447,0.6752099559745277,0.6017505883730679,0.8647804856737685,0,0.0,0
